Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
2012/2013,SHA TIN TOWN LOT NO. 574,CHOI SHA STREET LOK WO SHA MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R2,2901,14400,SHA TIN,7-Nov-12,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 117,AREA 66C2 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,2285,12915,SAI KUNG,28-Sep-12,N.A.
2012/2013,TSING YI TOWN LOT NO. 183,NO. 171 TSING YI ROAD WEST TSING YI NEW TERRITORIES,TENDER,PETROL FILLING STATION,259.109,2124,KWAI TSING,9-Aug-12,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 115,AREA 66D1 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R2,1168.933,5026,SAI KUNG,1-Aug-12,N.A.
2012/2013,TUEN MUN TOWN LOT NO. 427,SO KWUN WAT ROAD AREA 56 SO KWUN WAT TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1388,26934,TUEN MUN,30-Jan-13,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 125,AREA 68A1 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,1968,15969,SAI KUNG,13-Dec-12,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 95,AREA 68A2 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,2826,21306,SAI KUNG,28-Nov-12,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 118,AREA 66D2 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,2545,14954,SAI KUNG,7-Nov-12,N.A.
2012/2013,TUEN MUN TOWN LOT NO. 436,KWUN FAT STREET SIU LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R4,180,9020,TUEN MUN,2-May-12,N.A.
2012/2013,RURAL BUILDING LOT NO. 1190,DEEP WATER BAY DRIVE HONG KONG,TENDER,RESIDENTIAL  R3,6000,10249,SOUTHERN,30-May-12,N.A.
2012/2013,LOT NO. 673 IN DEMARCATION DISTRICT PENG CHAU,TUNG WAN PENG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL R3,15.01,1142.5,ISLANDS,30-May-12,N.A.
2012/2013,TUNG CHUNG TOWN LOT NO. 11,JUNCTION OF TAT TUNG ROAD AND MEI TUNG STREET TUNG CHUNG NEW TERRITORIES,TENDER,COMMERCIAL,2328,10026,ISLANDS,13-Mar-13,N.A.
2012/2013,INLAND LOT NO. 9043,NEAR THE JUNCTION OF TAI ON STREET AND OI KAN ROAD SAI WAN HO HONG KONG,TENDER,MARINE FUELLING STATION,---------,---------,EASTERN,---------,TENDER WITHDRAWN ON 26 APRIL 2012
2012/2013,TAI PO TOWN LOT NO. 207,CHUEN ON ROAD TAI PO,TENDER,HOSPITAL,---------,---------,TAI PO,---------,TENDER WITHDRAWN ON 13 MARCH 2013
2012/2013,INLAND LOT NO. 9044,NEAR THE JUNCTION OF TAI ON STREET AND OI KAN ROAD SAI WAN HO HONG KONG,TENDER,MARINE FUELLING STATION,---------,---------,EASTERN,---------,TENDER WITHDRAWN ON 26 APRIL 2012
2011/2012,ABERDEEN INLAND LOT NO. 460,22 WONG CHUK HANG ROAD HONG KONG,TENDER,PETROL FILLING STATION,128.16,383.9,SOUTHERN,8-Dec-11,N.A.
2011/2012,HUNG HOM INLAND LOT NO. 555,AT THE JUNCTION OF GILLIES AVENUE SOUTH AND BULKELEY STREET HUNG HOM KOWLOON,TENDER,RESIDENTIAL R1,406.3,582.3,KOWLOON CITY,20-Jun-11,N.A.
2011/2012,KOWLOON INLAND LOT NO. 11205,JUNCTION OF HUNG LUEN ROAD AND WA SHUN STREET HUNG HOM KOWLOON,TENDER,HOTEL,2328,15623,KOWLOON CITY,22-Dec-11,N.A.
2011/2012,INLAND LOT NO. 8920,OIL STREET NORTH POINT HONG KONG,TENDER,HOTEL AND RESIDENTIAL / COMMERCIAL,6267.2,7887,EASTERN,25-Aug-11,N.A.
2011/2012,INLAND LOT NO. 8970,373 QUEEN’S ROAD EAST WAN CHAI HONG KONG,TENDER,HOTEL,648,717,WAN CHAI,11-Jul-11,N.A.
2011/2012,HUNG HOM INLAND LOT NO. 556,LEE KUNG STREET HUNG HOM KOWLOON,TENDER,RESIDENTIAL R1,801,1298.7,KOWLOON CITY,20-Jun-11,N.A.
2011/2012,INLAND LOT NO. 8949,BORRETT ROAD HONG KONG,AUCTION,RESIDENTIAL R2,11650,10488,CENTRAL & WESTERN,9-Jun-11,N.A.
2011/2012,INLAND LOT NO. 8963,STUBBS ROAD HONG KONG,AUCTION,RESIDENTIAL R3,4490,14700,WAN CHAI,12-May-11,N.A.
2011/2012,LOT NO. 1588 IN DEMARCATION DISTRICT NO. 243,PIK SHA ROAD SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R4,700,7615,SAI KUNG,22-Mar-12,N.A.
2011/2012,LOT NO. 1950 IN DEMARCATION DISTRICT NO. 221,AREA 4 SAI KUNG TOWN SAI KUNG NEW TERRITORIES,TENDER,HOTEL,719.3,17940,SAI KUNG,27-Oct-11,N.A.
2011/2012,LOT NO. 1613 IN DEMARCATION DISTRICT NO. 222,KAP PIN LONG SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R4,55,1733,SAI KUNG,4-Oct-11,N.A.
2011/2012,LOT NO. 1282 IN DEMARCATION DISTRICT NO. 253,PAK SHEK WO SAI KUNG,AUCTION,RESIDENTIAL R3,121.5,2400,SAI KUNG,6-Sep-11,N.A.
2011/2012,LOT NO. 1176 IN DEMARCATION DISTRICT NO. 215,TUI MIN HOI SAI KUNG NEW TERRITORIES,TENDER,COMMERCIAL,55.275,1659.4,SAI KUNG,29-Jul-11,N.A.
2011/2012,LOT NO. 676 IN DEMARCATION DISTRICT PENG CHAU,PENG LEI ROAD PENG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL R3,19,4564,ISLANDS,1-Mar-12,N.A.
2011/2012,LOT NO. 726 IN DEMARCATION DISTRICT NO. 332,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,180,7550,ISLANDS,8-Dec-11,N.A.
2011/2012,LOT NO. 724 IN DEMARCATION DISTRICT NO. 332,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,176.8,7410,ISLANDS,8-Dec-11,N.A.
2011/2012,LOT NO. 2129 IN DEMARCATION DISTRICT NO. 121,PING KWAI ROAD PING SHAN YUEN LONG NEW TERRITORIES,AUCTION,RESIDENTIAL R3,300,6076,YUEN LONG,9-Jun-11,N.A.
2011/2012,LOT NO. 2086 IN DEMARCATION DISTRICT NO. 105,NGAU TAM MEI YUEN LONG NEW TERRITORIES,AUCTION,RESIDENTIAL R4,662,23480,YUEN LONG,12-May-11,N.A.
2011/2012,LOT NO. 726 IN DEMARCATION DISTRICT NO. 4 MUI WO,MUI WO LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL AND COMMERCIAL,55,2260,ISLANDS,22-Dec-11,N.A.
2011/2012,RURAL BUILDING LOT NO. 1196,SOUTH BAY ROAD REPULSE BAY HONG KONG,TENDER,PETROL FILLING STATION,112.78,1340,SOUTHERN,8-Dec-11,N.A.
2011/2012,SHA TIN TOWN LOT NO. 412,ON KWAN STREET SHEK MUN SHA TIN NEW TERRITORIES,TENDER,BUSINESS,680.1,6540,SHA TIN,8-Dec-11,N.A.
2011/2012,RURAL BUILDING LOT NO. 1168,NEAR 35 SOUTH BAY ROAD HONG KONG,TENDER,RESIDENTIAL R3,498.88,1338,SOUTHERN,10-Nov-11,N.A.
2011/2012,NEW KOWLOON INLAND LOT NO. 6314,JUNCTION OF KAI CHEUNG ROAD AND WANG KWONG ROAD KOWLOON BAY KOWLOON,TENDER,COMMERCIAL,3432.201234,6600,KWUN TONG,28-Jul-11,N.A.
2011/2012,NEW KOWLOON INLAND LOT NO. 6269,JUNCTION OF WAI YIP STREET SHUN YIP STREET AND HOI BUN ROAD KWUN TONG KOWLOON,TENDER,BUSINESS,3528,7083,KWUN TONG,11-Jul-11,N.A.
2011/2012,NEW KOWLOON INLAND LOT NO. 6498,BEGONIA ROAD YAU YAT CHUEN KOWLOON,AUCTION,RESIDENTIAL R3,579,2810,SHAM SHUI PO,12-May-11,N.A.
2011/2012,TIN SHUI WAI TOWN LOT NO. 26,AREA 108A TIN SHUI WAI YUEN LONG NEW TERRITORIES,TENDER,COMMERCIAL,411.28,6500,YUEN LONG,1-Mar-12,N.A.
2011/2012,TSEUNG KWAN O TOWN LOT NO. 119,AREA 66B2 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R2,1860,8246,SAI KUNG,12-Jan-12,N.A.
2011/2012,SHA TIN TOWN LOT NO. 463,JUNCTION OF ON YIU STREET AND ON KWAN STREET SHEK MUN SHA TIN NEW TERRITORIES,TENDER,BUSINESS,828,7997,SHA TIN,10-Nov-11,N.A.
2011/2012,STANLEY INLAND LOT NO. 91,HOI FUNG PATH STANLEY HONG KONG,TENDER,RESIDENTIAL R3,121.111,615.2,SOUTHERN,4-Oct-11,N.A.
2011/2012,TSEUNG KWAN O TOWN LOT NO. 113,AREA 66A TSEUNG KWAN O NEW TERRITORIES,AUCTION,RESIDENTIAL R2,3120,13393,SAI KUNG,6-Sep-11,N.A.
2011/2012,SHA TIN TOWN LOT NO. 525,AREA 56A KAU TO SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,5500,23056,SHA TIN,9-Aug-11,N.A.
2011/2012,TSING YI TOWN LOT NO. 181,TSING YI HONG WAN ROAD TSING YI NEW TERRITORIES,TENDER,LOGISTICS  DEVELOPMENT PURPOSES,1280,24000,KWAI TSING,16-Feb-12,N.A.
2011/2012,TUEN MUN TOWN LOT NO. 423,AREA 48 CASTLE PEAK ROAD SO KWUN WAT TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,2739,67147,TUEN MUN,9-Feb-12,N.A.
2011/2012,TSING YI TOWN LOT NO. 182,NO. 173 TSING YI ROAD WEST TSING YI NEW TERRITORIES,TENDER,PETROL FILLING STATION,233.07,1487,KWAI TSING,8-Dec-11,N.A.
2011/2012,TUNG CHUNG TOWN LOT NO. 36,AREA 55A TUNG CHUNG LANTAU ISLAND,TENDER,RESIDENTIAL R2,3770,25400,ISLANDS,28-Jul-11,N.A.
2011/2012,KOWLOON INLAND LOT NO. 11184,KO SHAN ROAD HUNG HOM KOWLOON,AUCTION,RESIDENTIAL R1,1525,1 901.7,KOWLOON CITY,27-Apr-11,N.A.
2011/2012,KOWLOON INLAND LOT NO. 11111,JUNCTION OF HUNG LUEN ROAD AND KIN WAN STREET HUNG HOM KOWLOON,TENDER,COMMERCIAL,4028,13703,KOWLOON CITY,4-Aug-11,N.A.
2011/2012,LOT NO. 4309 IN DEMARCATION DISTRICT NO. 124,TAN KWAI TSUEN ROAD YUEN LONG NEW TERRITORIES,AUCTION,RESIDENTIAL R3,361,11192,YUEN LONG,6-Sep-11,N.A.
2011/2012,AP LEI CHAU INLAND LOT NO. 135,AT JUNCTION OF AP LEI CHAU DRIVE AND AP LEI CHAU PRAYA ROAD HONG KONG,TENDER,RESIDENTIAL R1,2538,3050,SOUTHERN,22-Mar-12,N.A.
2010/2011,SHA TIN TOWN LOT NO. 433,JUNCTION OF ON YIU STREET ON KWAN STREET AND ON LAI STREET SHEK MUN SHA TIN NEW TERRITORIES,TENDER,BUSINESS,816,8533,SHA TIN,20-Oct-10,N.A.
2010/2011,YUEN LONG TOWN LOT NO. 518,YUEN LONG ON NING ROAD TAI KIU ROAD YUEN LONG ON LOK ROAD YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R1,2410,12340,YUEN LONG,7-Mar-11,N.A.
2010/2011,FANLING SHEUNG SHUI TOWN LOT NO. 202,JUNCTION OF FAN LENG LAU ROAD WO MUK ROAD AND LUEN HING STREET LUEN WO HUI FANLING NEW TERRITORIES,AUCTION,RESIDENTIAL R1,459,2560,NORTH,29-Sep-10,N.A.
2010/2011,INLAND LOT NO. 9007,MOUNT NICHOLSON ROAD THE PEAK HONG KONG,AUCTION,RESIDENTIAL R3,10400,23312,WAN CHAI,28-Jul-10,N.A.
2010/2011,FANLING SHEUNG SHUI TOWN LOT NO. 177,JUNCTION OF MA SIK ROAD AND SHA TAU KOK ROAD (LUNG YEUK TAU SECTION) AREA 19 FANLING NEW TERRITORIES,AUCTION,RESIDENTIAL R1,1330,8900,NORTH,24-May-10,N.A.
2010/2011,NEW KOWLOON INLAND LOT NO. 6423,3 AND 5 EDE ROAD KOWLOON TONG KOWLOON,AUCTION,RESIDENTIAL R3,1630,2808,KOWLOON CITY,12-Oct-10,N.A.
2010/2011,NEW KOWLOON INLAND LOT NO. 6306,1 EDE ROAD KOWLOON TONG KOWLOON,AUCTION,RESIDENTIAL R3,1285,2399,KOWLOON CITY,31-Aug-10,N.A.
2010/2011,KOWLOON INLAND LOT NO. 11120,HUNG HOM BAY RECLAMATION SITE D1 JUNCTION OF OI KING STREET AND HUNG LUEN ROAD KOWLOON,AUCTION,RESIDENTIAL R2,3510,7551,KOWLOON CITY,17-Aug-10,N.A.
2010/2011,KOWLOON INLAND LOT NO. 11125,204 ARGYLE STREET KOWLOON,AUCTION,RESIDENTIAL R2,4100,7326,KOWLOON CITY,17-Aug-10,N.A.
2010/2011,KOWLOON INLAND LOT NO. 11175,JUNCTION OF FAT KWONG STREET AND CHUNG HAU STREET HO MAN TIN KOWLOON,AUCTION,RESIDENTIAL R2,10900,16151,KOWLOON CITY,8-Jun-10,N.A.
2010/2011,NEW KOWLOON INLAND LOT NO. 6493,INVERNESS ROAD KOWLOON TONG KOWLOON,AUCTION,RESIDENTIAL R3,2170,7046,KOWLOON CITY,3-Nov-10,N.A.
2010/2011,TUNG CHUNG TOWN LOT NO. 37,AREA 55B TUNG CHUNG LANTAU ISLAND,AUCTION,RESIDENTIAL R2,3420,26200,ISLANDS,11-May-10,N.A.
2010/2011,TSING YI TOWN LOT NO. 180,TSING YI HONG WAN ROAD TSING YI NEW TERRITORIES,TENDER,LOGISTICS DEVELOPMENT PURPOSES,1150,24000,KWAI TSING,15-Dec-10,N.A.
2010/2011,NEW KOWLOON INLAND LOT NO. 6507,201 WATERLOO ROAD KOWLOON,TENDER,PETROL FILLING STATION,315.6,352.4,KOWLOON CITY,10-Jun-10,A single amount of tender premium for the purchase of [ABERDEEN INLAND LOT NO. 457] and [NEW KOWLOON INLAND LOT NO. 6507] collectively as one package.
2010/2011,INLAND LOT NO. 9029,VICTORIA ROAD HONG KONG,TENDER,PETROL FILLING STATION,220.86,340.1,CENTRAL & WESTERN,14-Dec-10,A single amount of tender premium for the purchase of [INLAND LOT NO. 9025] and [INLAND LOT NO. 9029] collectively as one package.
2010/2011,INLAND LOT NO. 9025,WONG NAI CHUNG GAP ROAD HONG KONG,TENDER,PETROL FILLING STATION,220.86,430.3,WAN CHAI,14-Dec-10,A single amount of tender premium for the purchase of [INLAND LOT NO. 9025] and [INLAND LOT NO. 9029] collectively as one package.
2010/2011,ABERDEEN INLAND LOT NO. 457,ABERDEEN MAIN ROAD ABERDEEN HONG KONG,TENDER,PETROL FILLING STATION,315.6,199,SOUTHERN,10-Jun-10,A single amount of tender premium for the purchase of [ABERDEEN INLAND LOT NO. 457] and [NEW KOWLOON INLAND LOT NO. 6507] collectively as one package.
2009/2010,FANLING SHEUNG SHUI TOWN LOT NO. 225,89-95 SAN FUNG AVENUE SHEK WU HUI SHEUNG SHUI NEW TERRITORIES,AUCTION,COMMERCIAL/ RESIDENTIAL,61,305.8,NORTH,5-May-09,N.A.
2009/2010,FANLING SHEUNG SHUI TOWN LOT NO. 237,JOCKEY CLUB ROAD ON LOK TSUEN FANLING NEW TERRITORIES,TENDER,PETROL FILLING STATION,168.682,937.9,NORTH,29-Apr-09,N.A.
2009/2010,TSEUNG KWAN O TOWN LOT NO. 76,AREA 66B TSEUNG KWAN O NEW TERRITORIES,AUCTION,RESIDENTIAL R1,3370,12300,SAI KUNG,22-Feb-10,N.A.
2009/2010,TAI PO TOWN LOT NO. 205,AREA 22 TAI PO NEW TERRITORIES,TENDER,PETROL FILLING STATION,131.9,737,TAI PO,19-Feb-10,N.A.
2009/2010,TAI PO TOWN LOT NO. 201,PAK SHEK KOK DEVELOPMENT AREA SITE D2 TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R3,5250,20925,TAI PO,28-Dec-09,N.A.
2009/2010,TAI PO TOWN LOT NO. 200,PAK SHEK KOK DEVELOPMENT AREA SITE D1 TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R3,5150,20925,TAI PO,28-Dec-09,N.A.
2009/2010,STANLEY INLAND LOT NO. 115,STANLEY VILLAGE ROAD STANLEY HONG KONG,TENDER,PETROL FILLING STATION,59.509,825.7,SOUTHERN,29-Apr-09,N.A.
2009/2010,LOT NO. 817 IN DEMARCATION DISTRICT NO. 110,KAM TIN ROAD YUEN LONG NEW TERRITORIES,TENDER,PETROL FILLING STATION,37.05,1300,YUEN LONG,19-Feb-10,N.A.
2009/2010,TAI PO TOWN LOT NO. 203,AREA 2 TAI PO NEW TERRITORIES,TENDER,PETROL FILLING STATION,237.8,870,TAI PO,3-Aug-09,A single amount of tender premium for the purchase of [TUEN MUN TOWN LOT NO. 486] and [TAI PO TOWN LOT NO. 203] collectively as one package.
2009/2010,TUEN MUN TOWN LOT NO. 486,TUEN YAN STREET AREA 37A TUEN MUN NEW TERRITORIES,TENDER,PETROL FILLING STATION,237.8,525.6,TUEN MUN,3-Aug-09,A single amount of tender premium for the purchase of [TUEN MUN TOWN LOT NO. 486] and [TAI PO TOWN LOT NO. 203] collectively as one package.
2008/2009,KWAI CHUNG TOWN LOT NO. 507,CONTAINER PORT ROAD SOUTH KWAI CHUNG NEW TERRITORIES HONG KONG,TENDER,LOGISTICS DEVELOPMENT PURPOSES,648.18,23315,KWAI TSING,22-Apr-08,N.A.
2008/2009,KWAI CHUNG TOWN LOT NO. 508,CASTLE PEAK ROAD KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,148.98,1040.5,TSUEN WAN,13-Feb-09,N.A.
2008/2009,LOT NO. 1200 IN DEMARCATION DISTRICT NO. 217,PAK SHA WAN SAI KUNG NEW TERRITORIES,AUCTION,RESIDENTIAL R3,16.5,191.4,SAI KUNG,9-May-08,N.A.
2008/2009,NEW KOWLOON INLAND LOT NO. 6488,AT THE FORMER KAI TAK RUNWAY KOWLOON,TENDER,CRUISE TERMINAL,---------,---------,KOWLOON CITY,---------,TENDER WITHDRAWN ON 9 JULY 2008
2007/2008,ABERDEEN INLAND LOT NO. 451,WELFARE ROAD ABERDEEN HONG KONG,AUCTION,RESIDENTIAL R1,5710,6403,SOUTHERN,15-Oct-07,N.A.
2007/2008,KOWLOON INLAND LOT NO. 11146,HOI FAI ROAD KOWLOON,AUCTION,RESIDENTIAL R1,5560,11353,YAU TSIM MONG,12-Jun-07,N.A.
2007/2008,KOWLOON INLAND LOT NO. 11073,JUNCTION OF HOI WANG ROAD YAN CHEUNG ROAD AND YAU CHEUNG ROAD WEST KOWLOON RECLAMATION AREA KOWLOON,AUCTION,RESIDENTIAL R1,4000,8060,YAU TSIM MONG,8-May-07,N.A.
2007/2008,KOWLOON INLAND LOT NO. 11187,WATERLOO ROAD KOWLOON,TENDER,PETROL FILLING STATION,50.5,831.9,KOWLOON CITY,20-Dec-07,N.A.
2007/2008,KOWLOON INLAND LOT NO. 11186,PRINCESS MARGARET ROAD KOWLOON,TENDER,PETROL FILLING STATION,238,370.6,KOWLOON CITY,20-Dec-07,N.A.
2007/2008,LOT NO. 2137 IN DEMARCATION DISTRICT NO. 121,CASTLE PEAK ROAD NEAR FUI SHA WAI YUEN LONG NEW TERRITORIES,TENDER,PETROL FILLING STATION,60.8,2242,YUEN LONG,20-Dec-07,N.A.
2007/2008,LOT NO. 245 IN DEMARCATION DISTRICT NO. 331,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,AUCTION,RESIDENTIAL R4,482,16587,ISLANDS,15-Oct-07,N.A.
2007/2008,RURAL BUILDING LOT NO. 1185,PEAK ROAD HONG KONG,TENDER,PETROL FILLING STATION,50.8,330.8,CENTRAL & WESTERN,20-Dec-07,N.A.
2007/2008,TAI PO TOWN LOT NO. 186,PAK SHEK KOK DEVELOPMENT AREA PHASE 1 SITE B TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R2,4550,22126,TAI PO,17-Sep-07,N.A.
2007/2008,TUEN MUN TOWN LOT NO. 449,TSING FAT LANE AREA 58 SIU LAM TUEN MUN NEW TERRITORIES,AUCTION,RESIDENTIAL R3,780,17042,TUEN MUN,29-May-07,N.A.
2007/2008,TUEN MUN TOWN LOT NO. 422,TSING LUNG ROAD AREA 58 SIU LAM TUEN MUN NEW TERRITORIES,AUCTION,RESIDENTIAL R3,960,15030,TUEN MUN,29-May-07,N.A.
2007/2008,NEW KOWLOON INLAND LOT NO. 6309,3 CHUN YAN STREET WONG TAI SIN KOWLOON,AUCTION,RESIDENTIAL R1,3980,9502,WONG TAI SIN,31-Jul-07,N.A.
2007/2008,KOWLOON INLAND LOT NO. 11185,WATERLOO ROAD KOWLOON,TENDER,PETROL FILLING STATION,402.1,612.2,KOWLOON CITY,12-Sep-07,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11185] [KOWLOON INLAND LOT NO. 11194] and [YUEN LONG TOWN LOT NO. 523] collectively as one package.
2007/2008,KOWLOON INLAND LOT NO. 11194,PRINCESS MARGARET ROAD KOWLOON,TENDER,PETROL FILLING STATION,402.1,373.9,KOWLOON CITY,12-Sep-07,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11185] [KOWLOON INLAND LOT NO. 11194] and [YUEN LONG TOWN LOT NO. 523] collectively as one package.
2007/2008,YUEN LONG TOWN LOT NO. 523,CASTLE PEAK ROAD YUEN LONG NEW TERRITORIES,TENDER,PETROL FILLING STATION,402.1,1953.5,YUEN LONG,12-Sep-07,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11185] [KOWLOON INLAND LOT NO. 11194] and [YUEN LONG TOWN LOT NO. 523] collectively as one package.
2007/2008,FANLING SHEUNG SHUI TOWN LOT NO. 235,SAN FUNG AVENUE SHEUNG SHUI NEW TERRITORIES,TENDER,PETROL FILLING STATION,408,634,NORTH,18-Feb-08,A single amount of tender premium for the purchase of [FANLING SHEUNG SHUI TOWN LOT NO. 235] [RURAL BUILDING LOT NO. 1184] and [KWAI CHUNG TOWN LOT NO. 504] collectively as one package.
2007/2008,RURAL BUILDING LOT NO. 1184,PEAK ROAD HONG KONG,TENDER,PETROL FILLING STATION,408,375.4,CENTRAL & WESTERN,18-Feb-08,A single amount of tender premium for the purchase of [FANLING SHEUNG SHUI TOWN LOT NO. 235] [RURAL BUILDING LOT NO. 1184] and [KWAI CHUNG TOWN LOT NO. 504] collectively as one package.
2007/2008,KWAI CHUNG TOWN LOT NO. 504,CASTLE PEAK ROAD KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,408,816.1,TSUEN WAN,18-Feb-08,A single amount of tender premium for the purchase of [FANLING SHEUNG SHUI TOWN LOT NO. 235] [RURAL BUILDING LOT NO. 1184] and [KWAI CHUNG TOWN LOT NO. 504] collectively as one package.
2006/2007,LOT NO. 1848 IN DEMARCATION DISTRICT CHEUNG CHAU,SHUI HANG CHEUNG CHAU,AUCTION,RESIDENTIAL R4,96.5,10382,ISLANDS,27-Mar-07,N.A.
2006/2007,NEW KOWLOON INLAND LOT NO. 6374,1 BROADCAST DRIVE KOWLOON TONG KOWLOON,AUCTION,RESIDENTIAL R2,1940,6088,KOWLOON CITY,28-Nov-06,N.A.
2006/2007,LOT NO. 246 IN DEMARCATION DISTRICT NO. 331,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,AUCTION,RESIDENTIAL R4,30.5,2240,ISLANDS,18-Jul-06,N.A.
2006/2007,TAI PO TOWN LOT NO. 193,AREA 27 YIM TIN TSAI TAI PO NEW TERRITORIES,TENDER,MARINE FUELLING STATION,2.08,670.1,TAI PO,23-Mar-07,N.A.
2006/2007,TAI PO TOWN LOT NO. 195,JUNCTION OF PLOVER COVE ROAD AND PO WU LANE TAI PO NEW TERRITORIES,AUCTION,COMMERCIAL / RESIDENTIAL,570,2750,TAI PO,13-Mar-07,N.A.
2006/2007,TAI PO TOWN LOT NO. 188,PAK SHEK KOK RECLAMATION PHASE I SITE C TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R2,3500,19902,TAI PO,13-Mar-07,N.A.
2006/2007,TAI PO TOWN LOT NO. 187,PAK SHEK KOK RECLAMATION PHASE I SITE A TAI PO NEW TERRITORIES,AUCTION,RESIDENTIAL R2,2110,10028,TAI PO,13-Mar-07,N.A.
2006/2007,RURAL BUILDING LOT NO. 1159,NO. 12 MOUNT KELLETT ROAD THE PEAK HONG KONG,AUCTION,RESIDENTIAL R3,1800,7353,CENTRAL & WESTERN,19-Dec-06,N.A.
2006/2007,SHA TIN TOWN LOT NO. 548,AREA 77 MA ON SHAN SHA TIN NEW TERRITORIES,AUCTION,RESIDENTIAL R2,3240,16440,SHA TIN,28-Nov-06,N.A.
2006/2007,TSING LUNG TAU LOT NO. 68,CASTLE PEAK ROAD – TSING LUNG TAU NEW TERRITORIES,AUCTION,RESIDENTIAL R3,53,2076,TSUEN WAN,12-Sep-06,N.A.
2006/2007,TUNG CHUNG TOWN LOT NO. 25,CHUNG WAI STREET TUNG CHUNG LANTAU,TENDER,WORKSHOP,---------,---------,ISLANDS,---------,TENDER WITHDRAWN ON 27 MARCH 2007
2005/2006,KOWLOON INLAND LOT NO. 11168,HOI TING ROAD WEST KOWLOON RECLAMATION AREA,AUCTION,RESIDENTIAL R1,3190,7397,YAU TSIM MONG,27-Sep-05,N.A.
2005/2006,NEW KOWLOON INLAND LOT NO. 6350,FUNG SHING STREET NGAU CHI WAN KOWLOON,AUCTION,RESIDENTIAL R2,4230,14459,WONG TAI SIN,27-Sep-05,N.A.
2005/2006,INLAND LOT NO. 8989,CANAL ROAD WEST CAUSEWAY BAY HONG KONG,TENDER,PETROL FILLING STATION,164.6,984.2,WAN CHAI,28-Dec-05,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11180] and [INLAND LOT NO. 8989] collectively as one package.
2005/2006,KOWLOON INLAND LOT NO. 11180,WATERLOO ROAD KOWLOON,TENDER,PETROL FILLING STATION,164.6,510.9,KOWLOON CITY,28-Dec-05,A single amount of tender premium for the purchase of [KOWLOON INLAND LOT NO. 11180] and [INLAND LOT NO. 8989] collectively as one package.
2005/2006,KOWLOON INLAND LOT NO. 11177,PRINCE EDWARD ROAD WEST KOWLOON,TENDER,PETROL FILLING STATION,358.66,565.8,YAU TSIM MONG,3-Jun-05,A single amount of tender premium for the purchase of [INLAND LOT NO. 9008] [INLAND LOT NO. 8994] [KOWLOON INLAND LOT NO. 11177] and [TUNG CHUNG TOWN LOT NO. 29] collectively as one package.
2005/2006,INLAND LOT NO. 9008,POK FU LAM ROAD HONG KONG,TENDER,PETROL FILLING STATION,358.66,933.4,CENTRAL & WESTERN,3-Jun-05,A single amount of tender premium for the purchase of [INLAND LOT NO. 9008] [INLAND LOT NO. 8994] [KOWLOON INLAND LOT NO. 11177] and [TUNG CHUNG TOWN LOT NO. 29] collectively as one package.
